N,Seed,Alpha,Converged,Rounds,q_hat,FinalResidual,ExpectedPayoff,WorstCaseQ5,SCShare,RuntimeSec
50,55,0.3,1,17,0.702707199843018,8.71731115397734e-05,0.760130426288602,0.648188583005705,0.263316849189015,0.0024577
50,55,0.4,1,17,0.702140049254851,9.72381261099275e-05,0.761645060988945,0.648778841087083,0.269850128679933,0.0026528
50,55,0.5,1,18,0.701434819742517,7.47554485412971e-05,0.763146919399297,0.650180361138248,0.276404811549084,0.003257
50,55,0.6,1,18,0.700636619570517,8.0728651045664e-05,0.764624043740505,0.651811933974817,0.282943487692785,0.0088559
50,55,0.7,1,18,0.701159014295045,8.95356256570001e-05,0.766081273203292,0.651845541522647,0.289477253423775,0.0042485
50,55,0.8,1,18,0.69966012973899,9.86810434281948e-05,0.767518258933488,0.650828468693695,0.296002695453606,0.0027373
50,55,0.9,1,19,0.698228490523099,7.48344715437999e-05,0.768941111741337,0.649525162777677,0.302538827864719,0.0029153
50,55,1,1,19,0.696840051600426,8.01619251694918e-05,0.770337191242803,0.647992238616488,0.309039979540471,0.0029622
50,56,0,1,16,0.700087875219364,8.98809260007905e-05,0.755697969398905,0.646921289123146,0.243778100736149,0.0025366
50,56,0.1,1,16,0.702973827838688,9.38352284498567e-05,0.75730224197728,0.647382181658524,0.250271454788541,0.0032525
50,56,0.2,1,17,0.703001402623171,7.76395650195216e-05,0.758894254279376,0.647852033344568,0.256789184897329,0.0026023
50,56,0.3,1,17,0.702661419621201,8.84755508390456e-05,0.760465750040618,0.648356753110379,0.263315766094679,0.0027182
50,56,0.4,1,17,0.702103063389495,9.85331712302084e-05,0.762018985261498,0.648906336992183,0.269849060240695,0.0026246
50,56,0.5,1,18,0.701406660173339,7.56559300464643e-05,0.763559701220623,0.650061626656686,0.276404075290894,0.0025853
50,56,0.6,1,18,0.701531197581732,8.34541621906881e-05,0.765075678204688,0.651623505010204,0.282942761935687,0.0028036
50,56,0.7,1,18,0.701089204337482,9.329876222397e-05,0.766571843311578,0.65173927219283,0.289476537971312,0.0027684
50,56,0.8,1,19,0.699653630887595,7.16777326378315e-05,0.768053912379879,0.6512557361229,0.296022423813828,0.0027312
50,56,0.9,1,19,0.698262539393144,7.74541434732101e-05,0.769509864744159,0.650200444881794,0.302538343510054,0.0027199
50,56,1,1,19,0.696910717876687,8.27757277062358e-05,0.770945024133427,0.648600850643288,0.30903950225923,0.0027257
50,57,0,1,16,0.700141866285654,8.94614765899748e-05,0.753423116729384,0.646224209779767,0.243776403435927,0.0025937
50,57,0.1,1,16,0.701982086488303,9.03472243170556e-05,0.755053015601638,0.646622731534785,0.250269784656963,0.0028473
50,57,0.2,1,17,0.703142116873354,7.51879358845409e-05,0.756671166998018,0.647007127710983,0.256788035229562,0.002795
50,57,0.3,1,17,0.702764837334529,8.60091213358005e-05,0.758269067642546,0.647418693073173,0.263314636076744,0.004318
50,57,0.4,1,17,0.702172506859047,9.60525219861619e-05,0.759849056473365,0.647975080520313,0.269847949430886,0.0026643
50,57,0.5,1,18,0.701445943167324,7.39105422950248e-05,0.761416986035445,0.649635227142974,0.276403313838199,0.0028819
50,57,0.6,1,18,0.702556643735246,8.36870405498125e-05,0.762960370201786,0.651425841281499,0.282942013997292,0.002736
