Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
CVaR-game,Robust SOTA,cvar_alpha,0.3,NaN,42,0.740891201721192,0.730963178515555,1.14996634136185e-05,1,28,0.0985634
CVaR-game,Robust SOTA,cvar_alpha,0.5,NaN,42,0.825440293414442,0.376841855147799,0.999965501009759,1,28,0.0912566
CVaR-game,Robust SOTA,cvar_alpha,0.7,NaN,42,0.825440293414442,0.376841855147799,0.999965501009759,1,28,0.102207
CVaR-game,Robust SOTA,cvar_alpha,0.9,NaN,42,0.825440293414442,0.376841855147799,0.999965501009759,1,28,0.094042
DRNE-VI,Robust SOTA,drne_alpha,0.1,NaN,42,0.823069620191526,0.529619211339714,0.68314808412777,0,300,0.0070472
DRNE-VI,Robust SOTA,drne_alpha,0.3,NaN,42,0.821469226113682,0.55956520686799,0.614740028810854,0,300,0.0063926
DRNE-VI,Robust SOTA,drne_alpha,0.5,NaN,42,0.817142202622606,0.594342953786739,0.527848662315903,0,300,0.0063432
DRNE-VI,Robust SOTA,drne_alpha,0.7,NaN,42,0.802362938198968,0.646490473000182,0.372300867869437,0,300,0.0064543
DRNE-VI,Robust SOTA,drne_alpha,0.9,NaN,42,0.786040133058509,0.695012663420887,0.218513674676503,0,300,0.0070669
DRNE-VI,Robust SOTA,drne_alpha,0.95,NaN,42,0.785301699168652,0.697093883188167,0.211739533641091,0,300,0.0039549
Proposed IT2-W-FBRI,Proposed,alpha,0,0,43,0.740120946974023,0.731153200847039,8.94772728275133e-05,1,41,0.0056009
Proposed IT2-W-FBRI,Proposed,alpha,0,5,43,0.739866617600916,0.730838123028485,1.67057005039697e-05,1,46,0.0113656
Proposed IT2-W-FBRI,Proposed,alpha,0,10,43,0.739867137849961,0.730838554846286,1.39726447196921e-05,1,46,0.0078621
Proposed IT2-W-FBRI,Proposed,alpha,0,15,43,0.741529020628807,0.732850119514306,2.66573671957764e-05,1,44,0.0102531
Proposed IT2-W-FBRI,Proposed,alpha,0,20,43,0.780481058259259,0.775844940229209,2.57581332109328e-05,1,44,0.0074111
Proposed IT2-W-FBRI,Proposed,alpha,0,40,43,0.815661346509097,0.806501254051611,1.21092825683405e-05,1,46,0.0100518
Proposed IT2-W-FBRI,Proposed,alpha,0.1,0,43,0.74162179625458,0.733012787672329,0.00151740980292185,1,41,0.0055071
Proposed IT2-W-FBRI,Proposed,alpha,0.1,5,43,0.739867203290907,0.730838814218595,1.86251323266535e-05,1,46,0.0077485
Proposed IT2-W-FBRI,Proposed,alpha,0.1,10,43,0.739867906229514,0.730839521926123,1.58603130850411e-05,1,46,0.0077773
Proposed IT2-W-FBRI,Proposed,alpha,0.1,15,43,0.745708093043073,0.737981682811711,3.04377168508178e-05,1,44,0.0074343
Proposed IT2-W-FBRI,Proposed,alpha,0.1,20,43,0.788717129910809,0.783380874957276,2.94989918991192e-05,1,44,0.0073717
Proposed IT2-W-FBRI,Proposed,alpha,0.1,40,43,0.815663514232999,0.806503056264741,1.39204059577313e-05,1,46,0.0094434
Proposed IT2-W-FBRI,Proposed,alpha,0.2,0,43,0.759024303721415,0.736465394339047,0.0601391382701496,1,52,0.0068095
Proposed IT2-W-FBRI,Proposed,alpha,0.2,5,43,0.73986773167866,0.730839461646606,2.06917908838619e-05,1,45,0.0076312
Proposed IT2-W-FBRI,Proposed,alpha,0.2,10,43,0.739874331577047,0.730847467341272,1.79469391094686e-05,1,45,0.0076754
Proposed IT2-W-FBRI,Proposed,alpha,0.2,15,43,0.754342358165584,0.748129819240887,3.46500815090405e-05,1,44,0.0118485
Proposed IT2-W-FBRI,Proposed,alpha,0.2,20,43,0.797113825790229,0.791030977171082,3.36881595894232e-05,1,44,0.0074452
Proposed IT2-W-FBRI,Proposed,alpha,0.2,40,43,0.815665251010527,0.806504532464549,1.59602942120437e-05,1,46,0.0076643
Proposed IT2-W-FBRI,Proposed,alpha,0.3,0,43,0.834341093623815,0.578462750884235,0.576249883065678,1,48,0.0062806
Proposed IT2-W-FBRI,Proposed,alpha,0.3,5,43,0.739868270834954,0.730840135173787,2.28979521349825e-05,1,44,0.0103271
Proposed IT2-W-FBRI,Proposed,alpha,0.3,10,43,0.739968103444356,0.730963086322309,2.02286975136537e-05,1,45,0.007251
Proposed IT2-W-FBRI,Proposed,alpha,0.3,15,43,0.766973263141294,0.762098308481769,3.93220210707356e-05,1,43,0.0097075
Proposed IT2-W-FBRI,Proposed,alpha,0.3,20,43,0.805026025897376,0.797971554575277,3.8358408931271e-05,1,43,0.0072231
Proposed IT2-W-FBRI,Proposed,alpha,0.3,40,43,0.815666665384943,0.806505768765275,1.82442990028351e-05,1,46,0.0075658
Proposed IT2-W-FBRI,Proposed,alpha,0.4,0,43,0.842497887714625,0.518792606680027,0.719867341067881,1,42,0.0057468
Proposed IT2-W-FBRI,Proposed,alpha,0.4,5,43,0.739870144098305,0.730842460532247,2.52325077404572e-05,1,44,0.0069958
Proposed IT2-W-FBRI,Proposed,alpha,0.4,10,43,0.741300693760883,0.732594479296917,3.24459982301506e-05,1,44,0.0070332
Proposed IT2-W-FBRI,Proposed,alpha,0.4,15,43,0.782261638500117,0.777580019366654,4.44512149285214e-05,1,43,0.0070339
Proposed IT2-W-FBRI,Proposed,alpha,0.4,20,43,0.811178505257129,0.802949561700041,4.35125721788226e-05,1,43,0.0069322
Proposed IT2-W-FBRI,Proposed,alpha,0.4,40,43,0.815667840725706,0.806506831488323,2.07877352825781e-05,1,45,0.0080757
Proposed IT2-W-FBRI,Proposed,alpha,0.5,0,43,0.845438423428001,0.473512380665255,0.817368393230777,1,42,0.0055937
Proposed IT2-W-FBRI,Proposed,alpha,0.5,5,43,0.739939148141169,0.730927547175307,2.76951101472003e-05,1,43,0.0070473
Proposed IT2-W-FBRI,Proposed,alpha,0.5,10,43,0.75185870215599,0.745293353591533,5.18330205018859e-05,1,42,0.007446
Proposed IT2-W-FBRI,Proposed,alpha,0.5,15,43,0.798267362210149,0.792053551420286,5.00576774326282e-05,1,42,0.0090523
Proposed IT2-W-FBRI,Proposed,alpha,0.5,20,43,0.81437187862533,0.80548677882636,3.44188932170507e-05,1,44,0.0072486
Proposed IT2-W-FBRI,Proposed,alpha,0.5,40,43,0.815668840518296,0.806507770613237,2.35920647651776e-05,1,45,0.0073364
Proposed IT2-W-FBRI,Proposed,alpha,0.6,0,43,0.847097875077596,0.437118741107484,0.891987787281483,1,42,0.006418
Proposed IT2-W-FBRI,Proposed,alpha,0.6,5,43,0.743084159323947,0.734652064730987,4.32569273250923e-05,1,42,0.00689
Proposed IT2-W-FBRI,Proposed,alpha,0.6,10,43,0.778778138439552,0.774179057711838,4.03915176552969e-05,1,43,0.0081255
Proposed IT2-W-FBRI,Proposed,alpha,0.6,15,43,0.810654825978284,0.802531075476516,5.61226515827327e-05,1,42,0.0071788
Proposed IT2-W-FBRI,Proposed,alpha,0.6,20,43,0.815374628357258,0.806276706416617,2.71139133847504e-05,1,44,0.0086469
Proposed IT2-W-FBRI,Proposed,alpha,0.6,40,43,0.815669713211767,0.806508624642148,2.66658964268538e-05,1,44,0.0072034
Proposed IT2-W-FBRI,Proposed,alpha,0.7,0,43,0.848079129174838,0.411261574513947,0.943559731790599,1,42,0.0062068
Proposed IT2-W-FBRI,Proposed,alpha,0.7,5,43,0.782549033169283,0.777909231284762,0.00132275642277055,1,42,0.0093326
Proposed IT2-W-FBRI,Proposed,alpha,0.7,10,43,0.80701543215227,0.799727176926824,5.7665334930538e-05,1,42,0.0070268
Proposed IT2-W-FBRI,Proposed,alpha,0.7,15,43,0.815010700162967,0.805990494943351,3.11274057368374e-05,1,43,0.0072603
Proposed IT2-W-FBRI,Proposed,alpha,0.7,20,43,0.815608525149342,0.80646075479754,3.04027392649337e-05,1,44,0.0074761
Proposed IT2-W-FBRI,Proposed,alpha,0.7,40,43,0.815670495440119,0.806509421931716,3.00008833229962e-05,1,44,0.0079835
Proposed IT2-W-FBRI,Proposed,alpha,0.8,0,43,0.848603173690985,0.395910208658775,0.973683090462348,1,43,0.0077276
Proposed IT2-W-FBRI,Proposed,alpha,0.8,5,43,0.829941397240453,0.688077126042713,0.334583758032445,1,42,0.0072203
Proposed IT2-W-FBRI,Proposed,alpha,0.8,10,43,0.816336441256003,0.806760962626685,0.0220698745531432,1,42,0.0100732
Proposed IT2-W-FBRI,Proposed,alpha,0.8,15,43,0.815681998293857,0.806596031050102,0.00149244412369309,1,43,0.0079527
Proposed IT2-W-FBRI,Proposed,alpha,0.8,20,43,0.815671129111702,0.806522800846278,0.000272730736575892,1,43,0.0093066
Proposed IT2-W-FBRI,Proposed,alpha,0.8,40,43,0.815672054827899,0.806511715204745,5.00199177723797e-05,1,43,0.0078139
Proposed IT2-W-FBRI,Proposed,alpha,0.85,0,43,0.848751623180302,0.391340614724762,0.982582533680608,1,43,0.0075314
Proposed IT2-W-FBRI,Proposed,alpha,0.85,5,43,0.839967115991584,0.572309123417063,0.604053136798613,1,42,0.0073052
Proposed IT2-W-FBRI,Proposed,alpha,0.85,10,43,0.82603906041736,0.734931427309811,0.221140616929298,1,42,0.0097112
Proposed IT2-W-FBRI,Proposed,alpha,0.85,15,43,0.818722256076306,0.796775256054206,0.0613635849806203,1,42,0.0072382
Proposed IT2-W-FBRI,Proposed,alpha,0.85,20,43,0.816647757926658,0.806851629675931,0.0193908044589395,1,42,0.0085931
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,43,0.815815284034639,0.806772533041533,0.00284578672211637,1,43,0.0076746
Proposed IT2-W-FBRI,Proposed,alpha,0.9,0,43,0.848850830256988,0.38822897650479,0.988625360326209,1,43,0.0087167
Proposed IT2-W-FBRI,Proposed,alpha,0.9,5,43,0.845994421828444,0.463893364854485,0.837588494778925,1,42,0.0101079
Proposed IT2-W-FBRI,Proposed,alpha,0.9,10,43,0.84016899379605,0.570244684878281,0.608811487998536,1,42,0.0100845
Proposed IT2-W-FBRI,Proposed,alpha,0.9,15,43,0.834749833840826,0.644064902696333,0.441426922319477,1,42,0.0094859
Proposed IT2-W-FBRI,Proposed,alpha,0.9,20,43,0.830816624919181,0.688488572180105,0.335716956838201,1,42,0.0072505
Proposed IT2-W-FBRI,Proposed,alpha,0.9,40,43,0.824947930855514,0.745425655636074,0.194693404241952,1,42,0.007086
Proposed IT2-W-FBRI,Proposed,alpha,1,0,43,0.848958082879378,0.384812704148581,0.995244075964671,1,43,0.0058121
Proposed IT2-W-FBRI,Proposed,alpha,1,5,43,0.848958082879378,0.384812704148581,0.995244075964671,1,43,0.0072078
Proposed IT2-W-FBRI,Proposed,alpha,1,10,43,0.848958082879378,0.384812704148581,0.995244075964671,1,43,0.0082966
Proposed IT2-W-FBRI,Proposed,alpha,1,15,43,0.848958082879378,0.384812704148581,0.995244075964671,1,43,0.0068632
Proposed IT2-W-FBRI,Proposed,alpha,1,20,43,0.848958082879378,0.384812704148581,0.995244075964671,1,43,0.0065749
Proposed IT2-W-FBRI,Proposed,alpha,1,40,43,0.848958082879378,0.384812704148581,0.995244075964671,1,43,0.0072765
Isobe-APP,Convergence SOTA,none,NaN,NaN,43,0.849040992504714,0.382389712886954,0.999952680845484,1,42,0.0045407
RQE,Robust SOTA,rqe_tau,0.5,NaN,43,0.797410193669687,0.624156378526133,0.387079009704162,1,23,0.2253762
RQE,Robust SOTA,rqe_tau,1,NaN,43,0.797437918421518,0.624081956015568,0.387301729845702,1,23,0.2439221
RQE,Robust SOTA,rqe_tau,2,NaN,43,0.797493843931078,0.623931462870682,0.387751753161038,1,23,0.2431702
RQE,Robust SOTA,rqe_tau,5,NaN,43,0.797665018742532,0.623467743793668,0.389135510165119,1,23,0.2377456
RQE,Robust SOTA,rqe_tau,10,NaN,43,0.797958515603386,0.622661577556598,0.39153077557716,1,23,0.2192285
RQE,Robust SOTA,rqe_tau,20,NaN,43,0.798550422685152,0.620993861962872,0.396447004690457,1,24,0.270724
RQE,Robust SOTA,rqe_tau,50,NaN,43,0.799876305601922,0.61697079822179,0.408046575209918,1,24,0.3015164
MF-RQE,Robust SOTA,mfrqe_tau,0.5,NaN,43,0.78520479129387,0.648927715207569,0.305679700496965,1,22,0.218752
MF-RQE,Robust SOTA,mfrqe_tau,1,NaN,43,0.784400311415283,0.649918906121823,0.30159767495099,1,22,0.219895
MF-RQE,Robust SOTA,mfrqe_tau,2,NaN,43,0.782820251473407,0.651800442151622,0.293680068763852,1,22,0.2656409
MF-RQE,Robust SOTA,mfrqe_tau,5,NaN,43,0.778710609686114,0.656422474749392,0.273686363205582,1,21,0.210945
MF-RQE,Robust SOTA,mfrqe_tau,10,NaN,43,0.774744787403819,0.660532346410385,0.255170663561366,1,20,0.2537609
MF-RQE,Robust SOTA,mfrqe_tau,20,NaN,43,0.772607953527848,0.662619515635362,0.245498098235752,1,19,0.2413907
MF-RQE,Robust SOTA,mfrqe_tau,50,NaN,43,0.772247901565298,0.662963590799653,0.243887842033785,1,19,0.1977263
CVaR-game,Robust SOTA,cvar_alpha,0.05,NaN,43,0.739866772327929,0.730837394901978,1.14996634136185e-05,1,28,0.0932653
CVaR-game,Robust SOTA,cvar_alpha,0.1,NaN,43,0.739866772327929,0.730837394901978,1.14996634136185e-05,1,28,0.0861149
CVaR-game,Robust SOTA,cvar_alpha,0.2,NaN,43,0.739866772327929,0.730837394901978,1.14996634136185e-05,1,28,0.100411
CVaR-game,Robust SOTA,cvar_alpha,0.3,NaN,43,0.739866772327929,0.730837394901978,1.14996634136185e-05,1,28,0.1025913
CVaR-game,Robust SOTA,cvar_alpha,0.5,NaN,43,0.849038872641048,0.382379226901178,0.999965501009759,1,28,0.0938145
CVaR-game,Robust SOTA,cvar_alpha,0.7,NaN,43,0.849038872641048,0.382379226901178,0.999965501009759,1,28,0.0941343
CVaR-game,Robust SOTA,cvar_alpha,0.9,NaN,43,0.849038872641048,0.382379226901178,0.999965501009759,1,28,0.0937783
DRNE-VI,Robust SOTA,drne_alpha,0.1,NaN,43,0.838472413009763,0.531432944561489,0.68314808412777,0,300,0.006224
DRNE-VI,Robust SOTA,drne_alpha,0.3,NaN,43,0.835188046075573,0.560693513844706,0.614740028810854,0,300,0.0064003
DRNE-VI,Robust SOTA,drne_alpha,0.5,NaN,43,0.828790614113266,0.595113472175897,0.527848662315903,0,300,0.0060379
DRNE-VI,Robust SOTA,drne_alpha,0.7,NaN,43,0.810425882699298,0.647051338821847,0.372300867869437,0,300,0.0083272
DRNE-VI,Robust SOTA,drne_alpha,0.9,NaN,43,0.790549313174942,0.696043494975952,0.218513674676503,0,300,0.0068959
DRNE-VI,Robust SOTA,drne_alpha,0.95,NaN,43,0.789653883966076,0.698191132468254,0.211739533641091,0,300,0.0036477
Proposed IT2-W-FBRI,Proposed,alpha,0,0,44,0.741285937756748,0.732113229213522,8.94774301156233e-05,1,41,0.005624
Proposed IT2-W-FBRI,Proposed,alpha,0,5,44,0.741041989710001,0.731805517205419,1.67057326128033e-05,1,46,0.0078116
Proposed IT2-W-FBRI,Proposed,alpha,0,10,44,0.74104255104196,0.731805906109786,1.39726748110635e-05,1,46,0.0078278
Proposed IT2-W-FBRI,Proposed,alpha,0,15,44,0.742642227929421,0.733803603103489,2.66574272378812e-05,1,44,0.0075869
Proposed IT2-W-FBRI,Proposed,alpha,0,20,44,0.780584841088899,0.776510020278557,2.57581927368868e-05,1,44,0.0075535
