N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,51,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.76166741842455,0.64971104810067,0.700091414746416,0.11195637032388,0.273686363205582,0.2159583,1,0.2,none
50,51,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.717535768864124,0.728344999082748,0.723480845484367,-0.0108092302186238,1.14996634136185e-05,0.093861,1,0.2,none
50,51,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.782211933482725,0.645953905694796,0.707270018199364,0.136258027787929,0.288843548536262,0.0063775,1,0.2,none
50,52,Proposed IT2-W-FBRI,Proposed,1,41,0.873179269312061,8.10304965295684e-05,max strategy-step L1,0.0122496799711358,0.71527912532477,0.727041264008948,0.721748301601068,-0.0117621386841782,0.000318783086345024,0.0060574,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,52,Isobe-APP,Convergence SOTA,1,42,0.778329613274818,9.74192680755259e-05,outer-anchor L1,7.19640325108628e-08,0.850249720653324,0.381994119064545,0.592709139779495,0.468255601588779,0.999952566826486,0.0041351,1,0,none
50,52,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.784144645855455,0.624529112519193,0.696356102520511,0.159615533336262,0.389135510165119,0.2905215,1,0.2,none
50,52,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762565757953755,0.649097844688547,0.70015840565789,0.113467913265208,0.273686363205582,0.2166455,1,0.2,none
50,52,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.71459724751551,0.726368898282367,0.721071655437281,-0.0117716507668576,1.14996634136185e-05,0.0949108,1,0.2,none
50,52,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.782746164325751,0.644798507045672,0.706874952821708,0.137947657280079,0.288843548536262,0.0062616,1,0.2,none
50,53,Proposed IT2-W-FBRI,Proposed,1,41,0.87360423501171,8.10301225878118e-05,max strategy-step L1,0.0122496799639406,0.710086535937625,0.723472687608894,0.717448919356823,-0.013386151671269,0.000318782871409479,0.0060729,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,53,Isobe-APP,Convergence SOTA,1,42,0.778418896737014,9.7881098151359e-05,outer-anchor L1,7.23057753670986e-08,0.846805383964592,0.380241443707219,0.590195216823037,0.466563940257373,0.999952563285734,0.0037994,1,0,none
50,53,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.781894914127225,0.623995857762131,0.695050433126423,0.157899056365094,0.389135510165119,0.2689752,1,0.2,none
50,53,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.760290485261465,0.648593946210609,0.698857388783494,0.111696539050856,0.273686363205582,0.2049044,1,0.2,none
50,53,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.709351543719008,0.723296186481372,0.717021097238308,-0.0139446427623646,1.14996634136185e-05,0.0867934,1,0.2,none
50,53,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.780208556725526,0.642033854248551,0.70421247036319,0.138174702476975,0.288843548536262,0.006191,1,0.2,none
50,54,Proposed IT2-W-FBRI,Proposed,1,41,0.873726363877341,8.10302932380202e-05,max strategy-step L1,0.0122496799673993,0.719930595254629,0.728843469548087,0.724832676116031,-0.008912874293458,0.000318782910975186,0.0068963,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,54,Isobe-APP,Convergence SOTA,1,42,0.778460876612263,9.81717780285652e-05,outer-anchor L1,7.25201730888969e-08,0.848469584731663,0.38219858072521,0.592020532528114,0.466271004006453,0.999952707981876,0.0048243,1,0,none
50,54,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783291069966843,0.624429967121012,0.695917463401636,0.15886110284583,0.389135510165119,0.2659913,1,0.2,none
50,54,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.761927113614759,0.649902707656429,0.700313690337678,0.11202440595833,0.273686363205582,0.2084673,1,0.2,none
50,54,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.719308927513635,0.728239293239053,0.724220628662615,-0.00893036572541728,1.14996634136185e-05,0.0899956,1,0.2,none
50,54,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.783138418874306,0.646047769630718,0.707738561790333,0.137090649243587,0.288843548536262,0.0075218,1,0.2,none
50,55,Proposed IT2-W-FBRI,Proposed,1,41,0.872733545195277,8.10300467995415e-05,max strategy-step L1,0.0122496799804628,0.716366675118328,0.72791844841881,0.722720150433593,-0.0115517733004821,0.00031878324685594,0.0057494,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,55,Isobe-APP,Convergence SOTA,1,42,0.778443931010085,9.79543022559286e-05,outer-anchor L1,7.23594033580355e-08,0.845557735659929,0.381090154897883,0.590100566240804,0.464467580762046,0.999952772122491,0.0078255,1,0,none
50,55,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783608876818153,0.623750126859164,0.695686564340709,0.159858749958988,0.389135510165119,0.274654,1,0.2,none
50,55,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762517338986682,0.649525489383935,0.700371821705171,0.112991849602747,0.273686363205582,0.2047077,1,0.2,none
