N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,AvgPayoff,WorstCaseQ5,RuntimeSec,Certificate
20,59,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.852578823471409,0.3741293,none
20,59,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.924468998553604,0.1005213,none
20,59,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.928539369737659,0.0060697,none
20,60,Proposed IT2-W-FBRI,Proposed,1,22,0.682840982744857,8.65708472291976e-05,max strategy-step L1,0.057125013676572,0.892559247284907,0.873798874743039,0.0025096,base Gamma_alpha certificate; focused point empirical
20,60,Isobe-APP,Convergence SOTA,1,69,0.849599765866078,6.97066226309623e-05,outer-anchor L1,3.30875958343135e-06,0.965622501635406,0.937638435623271,0.0048694,none
20,60,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.824729828866761,0.3857217,none
20,60,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.864973875527861,0.33061,none
20,60,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.93763017137835,0.1041998,none
20,60,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.938111026421031,0.0082427,none
20,61,Proposed IT2-W-FBRI,Proposed,1,22,0.68296415656543,8.67801597922956e-05,max strategy-step L1,0.0571249211955369,0.892559358855255,0.867962452915592,0.0026683,base Gamma_alpha certificate; focused point empirical
20,61,Isobe-APP,Convergence SOTA,1,69,0.849548785452117,6.93866328026817e-05,outer-anchor L1,3.29356899653188e-06,0.96562251525786,0.908148044253612,0.0078061,none
20,61,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.81427877838533,0.3407506,none
20,61,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.854866287227839,0.3488649,none
20,61,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.908137397399937,0.0932065,none
20,61,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.914639253048203,0.0060893,none
50,42,Proposed IT2-W-FBRI,Proposed,1,22,0.683196582064638,8.74574301655828e-05,max strategy-step L1,0.0571250833401151,0.892559331023361,0.867171435120331,0.0039905,base Gamma_alpha certificate; focused point empirical
50,42,Isobe-APP,Convergence SOTA,1,69,0.849516999582762,6.92253247560276e-05,outer-anchor L1,3.28591150644542e-06,0.965622504534864,0.889091387356744,0.0071232,none
50,42,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.817029368454197,0.345737,none
50,42,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.857316942076189,0.3330871,none
50,42,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.889076229335137,0.0959627,none
50,42,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.896733909660957,0.0060715,none
50,43,Proposed IT2-W-FBRI,Proposed,1,22,0.683080369799241,8.74382848332026e-05,max strategy-step L1,0.0571252574878258,0.892559351202357,0.857905010019376,0.0040057,base Gamma_alpha certificate; focused point empirical
50,43,Isobe-APP,Convergence SOTA,1,69,0.849543473969699,6.95050476948511e-05,outer-anchor L1,3.29919042585392e-06,0.965622508691465,0.934451248949724,0.0061372,none
50,43,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.803550293196237,0.3154272,none
50,43,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.845909696724087,0.3794124,none
50,43,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.934449516404166,0.1159057,none
50,43,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.9327445574257,0.0093046,none
50,44,Proposed IT2-W-FBRI,Proposed,1,22,0.683191098069265,8.72014106733689e-05,max strategy-step L1,0.0571249663900212,0.892559386350927,0.875552487767544,0.0043771,base Gamma_alpha certificate; focused point empirical
50,44,Isobe-APP,Convergence SOTA,1,69,0.849490848384723,6.90571714629237e-05,outer-anchor L1,3.27792891463563e-06,0.965622513687634,0.918504031182812,0.0065484,none
50,44,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.820906196265089,0.3473539,none
50,44,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.865958501483027,0.3724325,none
50,44,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.918493534381646,0.0993886,none
50,44,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.922071293945162,0.0062037,none
50,45,Proposed IT2-W-FBRI,Proposed,1,22,0.683090331871698,8.72203800238759e-05,max strategy-step L1,0.0571251607137825,0.892559365399451,0.8672999653475,0.0040651,base Gamma_alpha certificate; focused point empirical
50,45,Isobe-APP,Convergence SOTA,1,69,0.849587624898913,6.97012002001159e-05,outer-anchor L1,3.30850217333811e-06,0.965622503931719,0.930178313008963,0.0088786,none
50,45,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.818450236809613,0.3149344,none
50,45,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.859799939820344,0.3550193,none
