Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
RQE,Robust SOTA,rqe_tau,0.5,NaN,51,0.778238213428518,0.624191619477525,0.387079009704162,1,23,0.2176574
RQE,Robust SOTA,rqe_tau,1,NaN,51,0.778268182983602,0.624116650122465,0.387301729845702,1,23,0.2185557
RQE,Robust SOTA,rqe_tau,2,NaN,51,0.778328646801864,0.623965050560112,0.387751753161038,1,23,0.2169168
RQE,Robust SOTA,rqe_tau,5,NaN,51,0.778513797006034,0.623497917324007,0.389135510165119,1,23,0.2298056
RQE,Robust SOTA,rqe_tau,10,NaN,51,0.778831558128427,0.622685799976533,0.39153077557716,1,23,0.2302234
RQE,Robust SOTA,rqe_tau,20,NaN,51,0.779473529589747,0.621005713031363,0.396447004690457,1,24,0.2379301
RQE,Robust SOTA,rqe_tau,50,NaN,51,0.780919507566011,0.616952822901148,0.408046575209918,1,24,0.2434981
MF-RQE,Robust SOTA,mfrqe_tau,0.5,NaN,51,0.765273209643286,0.648516389710173,0.305679700496965,1,22,0.2455092
MF-RQE,Robust SOTA,mfrqe_tau,1,NaN,51,0.764436157982918,0.64940759375,0.30159767495099,1,22,0.2224175
MF-RQE,Robust SOTA,mfrqe_tau,2,NaN,51,0.76279306064416,0.651100234637425,0.293680068763852,1,22,0.2592852
MF-RQE,Robust SOTA,mfrqe_tau,5,NaN,51,0.758525142077649,0.649165040760875,0.273686363205582,1,21,0.2222116
MF-RQE,Robust SOTA,mfrqe_tau,10,NaN,51,0.754414045576098,0.647040551910228,0.255170663561366,1,20,0.2059002
MF-RQE,Robust SOTA,mfrqe_tau,20,NaN,51,0.752201904531919,0.64636139468606,0.245498098235752,1,19,0.2043631
MF-RQE,Robust SOTA,mfrqe_tau,50,NaN,51,0.751829353543123,0.646255971869406,0.243887842033785,1,19,0.1831796
CVaR-game,Robust SOTA,cvar_alpha,0.05,NaN,51,0.714710860941458,0.727597281791827,1.14996634136185e-05,1,28,0.0919924
CVaR-game,Robust SOTA,cvar_alpha,0.1,NaN,51,0.714710860941458,0.727597281791827,1.14996634136185e-05,1,28,0.0782986
CVaR-game,Robust SOTA,cvar_alpha,0.2,NaN,51,0.714710860941458,0.727597281791827,1.14996634136185e-05,1,28,0.0847982
CVaR-game,Robust SOTA,cvar_alpha,0.3,NaN,51,0.714710860941458,0.727597281791827,1.14996634136185e-05,1,28,0.0926519
CVaR-game,Robust SOTA,cvar_alpha,0.5,NaN,51,0.834639723016321,0.379271294695812,0.999965501009759,1,28,0.0903883
CVaR-game,Robust SOTA,cvar_alpha,0.7,NaN,51,0.834639723016321,0.379271294695812,0.999965501009759,1,28,0.1005423
CVaR-game,Robust SOTA,cvar_alpha,0.9,NaN,51,0.834639723016321,0.379271294695812,0.999965501009759,1,28,0.0913916
DRNE-VI,Robust SOTA,drne_alpha,0.1,NaN,51,0.82153047781226,0.530775362697295,0.68314808412777,0,300,0.0074995
DRNE-VI,Robust SOTA,drne_alpha,0.3,NaN,51,0.817541028322288,0.560759359089061,0.614740028810854,0,300,0.0058921
DRNE-VI,Robust SOTA,drne_alpha,0.5,NaN,51,0.810321230831718,0.595335060124586,0.527848662315903,0,300,0.0061053
DRNE-VI,Robust SOTA,drne_alpha,0.7,NaN,51,0.790670780995706,0.64663082648236,0.372300867869437,0,300,0.0060844
DRNE-VI,Robust SOTA,drne_alpha,0.9,NaN,51,0.769117528690867,0.638179268938457,0.218513674676503,0,300,0.0077301
DRNE-VI,Robust SOTA,drne_alpha,0.95,NaN,51,0.768137975204484,0.637491850867667,0.211739533641091,0,300,0.0038096
Proposed IT2-W-FBRI,Proposed,alpha,0,0,52,0.717454613013282,0.727553227533083,8.94773886539571e-05,1,41,0.0074254
Proposed IT2-W-FBRI,Proposed,alpha,0,5,52,0.717175063441148,0.72721926018778,1.67057330693891e-05,1,46,0.007564
Proposed IT2-W-FBRI,Proposed,alpha,0,10,52,0.717175513403768,0.727219525728219,1.39726710248753e-05,1,46,0.0080706
