N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,52,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797953883359044,0.673989393796002,0.729773414099371,0.123964489563042,0.288843548536262,0.006531,1,0.2,none
50,53,Proposed IT2-W-FBRI,Proposed,1,45,0.856840817277365,7.73352679520158e-05,max strategy-step L1,0.010127843859509,0.815528276757909,0.807225920118619,0.8109619806063,0.00830235663929035,2.35920399356813e-05,0.0085598,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,53,Isobe-APP,Convergence SOTA,1,42,0.778418896737014,9.7881098151359e-05,outer-anchor L1,7.23057753670986e-08,0.842992358081251,0.37950948743327,0.588076779224861,0.463482870647981,0.999952563285734,0.0041246,1,0,none
50,53,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.795393510106485,0.623871468605713,0.70105638728106,0.171522041500773,0.389135510165119,0.2905648,1,0.2,none
50,53,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777154269427304,0.656681117522906,0.710894035879885,0.120473151904397,0.273686363205582,0.2452242,1,0.2,none
50,53,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740875132453098,0.731101359876438,0.735499557535935,0.00977377257666023,1.14996634136185e-05,0.0933154,1,0.2,none
50,53,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798238450656226,0.674247012615812,0.730043159733998,0.123991438040414,0.288843548536262,0.0065501,1,0.2,none
50,54,Proposed IT2-W-FBRI,Proposed,1,45,0.856868577318697,7.73352748599237e-05,max strategy-step L1,0.0101278438603506,0.8157608149359,0.807333904449221,0.811126014168226,0.00842691048667887,2.3592053749879e-05,0.0079634,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,54,Isobe-APP,Convergence SOTA,1,42,0.778460876612263,9.81717780285652e-05,outer-anchor L1,7.25201730888969e-08,0.844239297931897,0.381413993356999,0.589685380415703,0.462825304574897,0.999952707981876,0.0040006,1,0,none
50,54,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.795824328982851,0.623950928268315,0.701293958589856,0.171873400714536,0.389135510165119,0.2376416,1,0.2,none
50,54,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777469679626057,0.656629598045595,0.711007634756803,0.120840081580462,0.273686363205582,0.2261732,1,0.2,none
50,54,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740847916150052,0.730543412958554,0.735180439394728,0.0103045031914976,1.14996634136185e-05,0.090134,1,0.2,none
50,54,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798550878377355,0.673788417193241,0.729931524726092,0.124762461184114,0.288843548536262,0.0062207,1,0.2,none
50,55,Proposed IT2-W-FBRI,Proposed,1,45,0.856637674304993,7.73352810564267e-05,max strategy-step L1,0.0101278438640413,0.815698550525593,0.807442139399554,0.811157524406272,0.0082564111260397,2.35921314831673e-05,0.0079255,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,55,Isobe-APP,Convergence SOTA,1,42,0.778443931010085,9.79543022559286e-05,outer-anchor L1,7.23594033580355e-08,0.845593700630908,0.379300003939854,0.589132167450828,0.466293696691053,0.999952772122491,0.0039979,1,0,none
50,55,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.796329877116462,0.623836760360228,0.701458662900533,0.172493116756234,0.389135510165119,0.2318419,1,0.2,none
50,55,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777823502625886,0.656856075251067,0.711291417569736,0.120967427374818,0.273686363205582,0.2167098,1,0.2,none
50,55,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.74090022039846,0.731185127517159,0.735556919313744,0.00971509288130123,1.14996634136185e-05,0.0978148,1,0.2,none
50,55,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798887956247418,0.67398838681732,0.730193193060864,0.124899569430097,0.288843548536262,0.0060947,1,0.2,none
50,56,Proposed IT2-W-FBRI,Proposed,1,45,0.856673855258507,7.73352340779085e-05,max strategy-step L1,0.0101278438685301,0.815901717823627,0.807353751926468,0.81120033658019,0.00854796589715845,2.3592079159442e-05,0.0080691,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,56,Isobe-APP,Convergence SOTA,1,42,0.778253183415401,9.71101511823917e-05,outer-anchor L1,7.17360619795215e-08,0.844839550262106,0.380298062249035,0.589341731854917,0.464541488013071,0.999952707283144,0.0042113,1,0,none
50,56,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.796113242403166,0.624010614507379,0.701456797060483,0.172102627895787,0.389135510165119,0.2655007,1,0.2,none
50,56,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777678264897568,0.656790115030333,0.711189782470588,0.120888149867235,0.273686363205582,0.192067,1,0.2,none
50,56,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740716002504776,0.731103967890205,0.735429383466762,0.00961203461457072,1.14996634136185e-05,0.0954896,1,0.2,none
