Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
dispersed,main,Proposed-Base,45,21,0.738074696122577,0.581734426050262,0.652087547582804,0.100750949862632,0.0295115882653053,0.0038108
dispersed,main,Proposed-Anneal,45,78,0.74908140325908,0.504170273835076,0.614380282075877,9.5353682637516e-05,0.00315266793322055,0.0135343
dispersed,main,Proposed-Coherent,45,28,0.716250468914842,0.727506968270063,0.722441543560214,1.14996634136185e-05,4.66754617733933e-07,0.7431543
dispersed,main,Isobe-APP,45,42,0.844010621765792,0.379931481679198,0.588767094718165,0.999952595289681,NaN,0.0042556
dispersed,main,RQE,45,23,0.782393067581052,0.624041430670227,0.695299667280098,0.389135516637,NaN,1.6676429
dispersed,main,MF-RQE,45,21,0.76160233655146,0.649514920757748,0.699954257864918,0.273686364048246,NaN,1.7174024
dispersed,main,CVaR-game,45,28,0.716250468914842,0.727506968270063,0.722441543560214,1.14996634136185e-05,NaN,0.7196706
dispersed,main,DRNE-VI,45,300,0.781913028475146,0.645762783016747,0.707030393473027,0.288843548536262,NaN,0.0060032
dispersed,main,Proposed-Base,46,21,0.738206172429541,0.580718520652669,0.651587963952261,0.100750973016763,0.0295115713618503,0.0040694
dispersed,main,Proposed-Anneal,46,78,0.747074935663074,0.504430373054874,0.613620426228564,9.53536826374993e-05,0.00315266793322055,0.0132676
dispersed,main,Proposed-Coherent,46,28,0.71351114826231,0.726857745079965,0.72085177651202,1.14996634136185e-05,4.66754617733933e-07,0.7488104
dispersed,main,Isobe-APP,46,42,0.848384468468339,0.38251955661292,0.592158766947859,0.99995266671164,NaN,0.0039394
dispersed,main,RQE,46,23,0.783662646064037,0.624431451899593,0.696085489273593,0.389135516637,NaN,1.605616
dispersed,main,MF-RQE,46,21,0.762583471360996,0.64891048204616,0.700063327237836,0.273686364048246,NaN,1.7491699
dispersed,main,CVaR-game,46,28,0.71351114826231,0.726857745079965,0.72085177651202,1.14996634136185e-05,NaN,0.7043152
dispersed,main,DRNE-VI,46,300,0.781565264222076,0.644324381398865,0.70608277866931,0.288843548536262,NaN,0.0059549
dispersed,main,Proposed-Base,47,21,0.73791946620632,0.581464037285306,0.651868980299762,0.100750880170019,0.0295114141954216,0.003838
dispersed,main,Proposed-Anneal,47,78,0.74870433330688,0.504146098852128,0.614197304356766,9.53536826374343e-05,0.00315266793322022,0.0129589
dispersed,main,Proposed-Coherent,47,28,0.71852842731061,0.727950406880322,0.723710516073951,1.14996634136185e-05,4.66754617733933e-07,0.7257215
dispersed,main,Isobe-APP,47,42,0.84717599211397,0.382408179890153,0.591553695390871,0.999952543715388,NaN,0.0040828
dispersed,main,RQE,47,23,0.783148372024799,0.624321650507129,0.695793675190081,0.389135516637,NaN,1.6384647
dispersed,main,MF-RQE,47,21,0.762044096371977,0.649359497674839,0.700067567088551,0.273686364048246,NaN,1.7407257
dispersed,main,CVaR-game,47,28,0.71852842731061,0.727950406880322,0.723710516073951,1.14996634136185e-05,NaN,0.7135197
dispersed,main,DRNE-VI,47,300,0.78278736301999,0.645528424982571,0.70729494709941,0.288843548536262,NaN,0.0060948
dispersed,main,Proposed-Base,48,21,0.737335851652825,0.581778011642477,0.651779039647134,0.100750739789342,0.0295114213692041,0.0036313
dispersed,main,Proposed-Anneal,48,78,0.74844346055348,0.505724717966327,0.614948152130546,9.53536826371132e-05,0.00315266793322022,0.0127971
dispersed,main,Proposed-Coherent,48,28,0.716920951457746,0.728011580056018,0.723020797186796,1.14996634136185e-05,4.66754617733933e-07,0.7396438
dispersed,main,Isobe-APP,48,42,0.848311308602564,0.382429286768177,0.592076196593651,0.999952661467819,NaN,0.0041255
dispersed,main,RQE,48,23,0.783285718567312,0.6239187559129,0.695633889107386,0.389135516637,NaN,1.6562085
dispersed,main,MF-RQE,48,21,0.761807263484704,0.649875580116776,0.700244837632343,0.273686364048246,NaN,1.7258526
